0.0586	0.0579	0.0571	0.0562	0.0553	0.0542	0.0531	0.0518	0.0505	0.0490	0.0475	0.0458	0.0439	0.0420	0.0399	0.0377	0.0353	0.0328	0.0301	0.0272	0.0242	0.0210	0.0176	0.0141	0.0103	0.0064	0.0023	-0.0021	-0.0066	-0.0113	-0.0162	-0.0213	-0.0266	-0.0320	-0.0377	-0.0436	-0.0496	-0.0558	-0.0622	-0.0687	-0.0754	-0.0822	-0.0891	-0.0962	-0.1033	-0.1106	-0.1179	-0.1253	-0.1327	-0.1401	-0.1476	-0.1550	-0.1625	-0.1699	-0.1772	-0.1845	-0.1917	-0.1987	-0.2057	-0.2126	-0.2193	-0.2259	-0.2323	-0.2386	-0.2447	-0.2506	-0.2563	-0.2619	-0.2672	-0.2724	-0.2774	-0.2821	-0.2867	-0.2910	-0.2952	-0.2992	-0.3030	-0.3065	-0.3099	-0.3131	-0.3162	-0.3190	-0.3217	-0.3242	-0.3265	-0.3287	-0.3307	-0.3325	-0.3342	-0.3357	-0.3371	-0.3384	-0.3395	-0.3405	-0.3413	-0.3420	-0.3426	-0.3431	-0.3434	-0.3436	-0.3436	-0.3436	-0.3434	-0.3431	-0.3426	-0.3420	-0.3413	-0.3405	-0.3395	-0.3384	-0.3371	-0.3357	-0.3342	-0.3325	-0.3307	-0.3287	-0.3265	-0.3242	-0.3217	-0.3190	-0.3162	-0.3131	-0.3099	-0.3065	-0.3030	-0.2992	-0.2952	-0.2910	-0.2867	-0.2821	-0.2774	-0.2724	-0.2672	-0.2619	-0.2563	-0.2506	-0.2447	-0.2386	-0.2323	-0.2259	-0.2193	-0.2126	-0.2057	-0.1987	-0.1917	-0.1845	-0.1772	-0.1699	-0.1625	-0.1550	-0.1476	-0.1401	-0.1327	-0.1253	-0.1179	-0.1106	-0.1033	-0.0962	-0.0891	-0.0822	-0.0754	-0.0687	-0.0622	-0.0558	-0.0496	-0.0436	-0.0377	-0.0320	-0.0266	-0.0213	-0.0162	-0.0113	-0.0066	-0.0021	0.0023	0.0064	0.0103	0.0141	0.0176	0.0210	0.0242	0.0272	0.0301	0.0328	0.0353	0.0377	0.0399	0.0420	0.0439	0.0458	0.0475	0.0490	0.0505	0.0518	0.0531	0.0542	0.0553	0.0562	0.0571	0.0579	
0.0613	0.0607	0.0599	0.0591	0.0582	0.0572	0.0561	0.0549	0.0536	0.0522	0.0506	0.0490	0.0472	0.0453	0.0432	0.0410	0.0386	0.0361	0.0334	0.0305	0.0275	0.0243	0.0209	0.0173	0.0135	0.0095	0.0053	0.0009	-0.0037	-0.0085	-0.0135	-0.0187	-0.0241	-0.0298	-0.0356	-0.0417	-0.0479	-0.0543	-0.0609	-0.0676	-0.0746	-0.0816	-0.0888	-0.0961	-0.1036	-0.1111	-0.1187	-0.1264	-0.1341	-0.1419	-0.1496	-0.1574	-0.1651	-0.1728	-0.1804	-0.1880	-0.1954	-0.2028	-0.2101	-0.2172	-0.2242	-0.2310	-0.2376	-0.2441	-0.2504	-0.2565	-0.2624	-0.2681	-0.2736	-0.2789	-0.2840	-0.2889	-0.2935	-0.2980	-0.3022	-0.3063	-0.3101	-0.3138	-0.3172	-0.3205	-0.3235	-0.3264	-0.3291	-0.3316	-0.3339	-0.3361	-0.3381	-0.3400	-0.3417	-0.3432	-0.3446	-0.3459	-0.3470	-0.3480	-0.3488	-0.3495	-0.3501	-0.3505	-0.3509	-0.3510	-0.3511	-0.3510	-0.3509	-0.3505	-0.3501	-0.3495	-0.3488	-0.3480	-0.3470	-0.3459	-0.3446	-0.3432	-0.3417	-0.3400	-0.3381	-0.3361	-0.3339	-0.3316	-0.3291	-0.3264	-0.3235	-0.3205	-0.3172	-0.3138	-0.3101	-0.3063	-0.3022	-0.2980	-0.2935	-0.2889	-0.2840	-0.2789	-0.2736	-0.2681	-0.2624	-0.2565	-0.2504	-0.2441	-0.2376	-0.2310	-0.2242	-0.2172	-0.2101	-0.2028	-0.1954	-0.1880	-0.1804	-0.1728	-0.1651	-0.1574	-0.1496	-0.1419	-0.1341	-0.1264	-0.1187	-0.1111	-0.1036	-0.0961	-0.0888	-0.0816	-0.0746	-0.0676	-0.0609	-0.0543	-0.0479	-0.0417	-0.0356	-0.0298	-0.0241	-0.0187	-0.0135	-0.0085	-0.0037	0.0009	0.0053	0.0095	0.0135	0.0173	0.0209	0.0243	0.0275	0.0305	0.0334	0.0361	0.0386	0.0410	0.0432	0.0453	0.0472	0.0490	0.0506	0.0522	0.0536	0.0549	0.0561	0.0572	0.0582	0.0591	0.0599	0.0607	
0.0641	0.0635	0.0628	0.0620	0.0612	0.0602	0.0592	0.0581	0.0568	0.0554	0.0539	0.0523	0.0506	0.0487	0.0466	0.0444	0.0421	0.0396	0.0369	0.0340	0.0310	0.0278	0.0243	0.0207	0.0169	0.0128	0.0086	0.0041	-0.0006	-0.0055	-0.0106	-0.0160	-0.0216	-0.0274	-0.0334	-0.0396	-0.0460	-0.0526	-0.0595	-0.0665	-0.0736	-0.0810	-0.0884	-0.0960	-0.1038	-0.1116	-0.1195	-0.1275	-0.1355	-0.1436	-0.1517	-0.1598	-0.1678	-0.1758	-0.1838	-0.1916	-0.1994	-0.2071	-0.2146	-0.2220	-0.2292	-0.2363	-0.2431	-0.2498	-0.2563	-0.2626	-0.2687	-0.2746	-0.2803	-0.2857	-0.2909	-0.2959	-0.3007	-0.3052	-0.3095	-0.3137	-0.3176	-0.3212	-0.3247	-0.3280	-0.3311	-0.3340	-0.3367	-0.3392	-0.3416	-0.3438	-0.3458	-0.3476	-0.3493	-0.3509	-0.3523	-0.3535	-0.3546	-0.3556	-0.3565	-0.3572	-0.3577	-0.3582	-0.3585	-0.3587	-0.3587	-0.3587	-0.3585	-0.3582	-0.3577	-0.3572	-0.3565	-0.3556	-0.3546	-0.3535	-0.3523	-0.3509	-0.3493	-0.3476	-0.3458	-0.3438	-0.3416	-0.3392	-0.3367	-0.3340	-0.3311	-0.3280	-0.3247	-0.3212	-0.3176	-0.3137	-0.3095	-0.3052	-0.3007	-0.2959	-0.2909	-0.2857	-0.2803	-0.2746	-0.2687	-0.2626	-0.2563	-0.2498	-0.2431	-0.2363	-0.2292	-0.2220	-0.2146	-0.2071	-0.1994	-0.1916	-0.1838	-0.1758	-0.1678	-0.1598	-0.1517	-0.1436	-0.1355	-0.1275	-0.1195	-0.1116	-0.1038	-0.0960	-0.0884	-0.0810	-0.0736	-0.0665	-0.0595	-0.0526	-0.0460	-0.0396	-0.0334	-0.0274	-0.0216	-0.0160	-0.0106	-0.0055	-0.0006	0.0041	0.0086	0.0128	0.0169	0.0207	0.0243	0.0278	0.0310	0.0340	0.0369	0.0396	0.0421	0.0444	0.0466	0.0487	0.0506	0.0523	0.0539	0.0554	0.0568	0.0581	0.0592	0.0602	0.0612	0.0620	0.0628	0.0635	
0.0669	0.0664	0.0658	0.0651	0.0643	0.0634	0.0624	0.0613	0.0601	0.0588	0.0573	0.0558	0.0541	0.0522	0.0502	0.0480	0.0457	0.0432	0.0405	0.0377	0.0346	0.0314	0.0279	0.0243	0.0204	0.0163	0.0120	0.0074	0.0027	-0.0023	-0.0076	-0.0131	-0.0188	-0.0248	-0.0309	-0.0374	-0.0440	-0.0508	-0.0579	-0.0652	-0.0726	-0.0802	-0.0880	-0.0959	-0.1039	-0.1121	-0.1203	-0.1286	-0.1370	-0.1454	-0.1538	-0.1623	-0.1706	-0.1790	-0.1873	-0.1954	-0.2035	-0.2115	-0.2193	-0.2270	-0.2345	-0.2418	-0.2489	-0.2558	-0.2626	-0.2691	-0.2753	-0.2814	-0.2872	-0.2928	-0.2981	-0.3032	-0.3081	-0.3127	-0.3171	-0.3213	-0.3252	-0.3290	-0.3325	-0.3358	-0.3389	-0.3419	-0.3446	-0.3471	-0.3495	-0.3517	-0.3537	-0.3555	-0.3572	-0.3588	-0.3601	-0.3614	-0.3625	-0.3634	-0.3643	-0.3650	-0.3655	-0.3660	-0.3663	-0.3665	-0.3665	-0.3665	-0.3663	-0.3660	-0.3655	-0.3650	-0.3643	-0.3634	-0.3625	-0.3614	-0.3601	-0.3588	-0.3572	-0.3555	-0.3537	-0.3517	-0.3495	-0.3471	-0.3446	-0.3419	-0.3389	-0.3358	-0.3325	-0.3290	-0.3252	-0.3213	-0.3171	-0.3127	-0.3081	-0.3032	-0.2981	-0.2928	-0.2872	-0.2814	-0.2753	-0.2691	-0.2626	-0.2558	-0.2489	-0.2418	-0.2345	-0.2270	-0.2193	-0.2115	-0.2035	-0.1954	-0.1873	-0.1790	-0.1706	-0.1623	-0.1538	-0.1454	-0.1370	-0.1286	-0.1203	-0.1121	-0.1039	-0.0959	-0.0880	-0.0802	-0.0726	-0.0652	-0.0579	-0.0508	-0.0440	-0.0374	-0.0309	-0.0248	-0.0188	-0.0131	-0.0076	-0.0023	0.0027	0.0074	0.0120	0.0163	0.0204	0.0243	0.0279	0.0314	0.0346	0.0377	0.0405	0.0432	0.0457	0.0480	0.0502	0.0522	0.0541	0.0558	0.0573	0.0588	0.0601	0.0613	0.0624	0.0634	0.0643	0.0651	0.0658	0.0664	
0.0698	0.0694	0.0688	0.0682	0.0674	0.0666	0.0657	0.0647	0.0635	0.0623	0.0609	0.0593	0.0577	0.0559	0.0539	0.0518	0.0495	0.0470	0.0444	0.0415	0.0385	0.0352	0.0317	0.0281	0.0241	0.0200	0.0156	0.0110	0.0061	0.0010	-0.0044	-0.0100	-0.0159	-0.0220	-0.0283	-0.0350	-0.0418	-0.0489	-0.0562	-0.0637	-0.0714	-0.0793	-0.0874	-0.0956	-0.1040	-0.1125	-0.1211	-0.1298	-0.1385	-0.1473	-0.1561	-0.1648	-0.1736	-0.1823	-0.1909	-0.1994	-0.2078	-0.2161	-0.2243	-0.2322	-0.2400	-0.2476	-0.2550	-0.2621	-0.2691	-0.2758	-0.2822	-0.2884	-0.2944	-0.3001	-0.3056	-0.3108	-0.3158	-0.3205	-0.3250	-0.3292	-0.3332	-0.3370	-0.3406	-0.3439	-0.3470	-0.3500	-0.3527	-0.3552	-0.3576	-0.3598	-0.3618	-0.3636	-0.3653	-0.3668	-0.3682	-0.3694	-0.3705	-0.3715	-0.3723	-0.3730	-0.3735	-0.3740	-0.3743	-0.3744	-0.3745	-0.3744	-0.3743	-0.3740	-0.3735	-0.3730	-0.3723	-0.3715	-0.3705	-0.3694	-0.3682	-0.3668	-0.3653	-0.3636	-0.3618	-0.3598	-0.3576	-0.3552	-0.3527	-0.3500	-0.3470	-0.3439	-0.3406	-0.3370	-0.3332	-0.3292	-0.3250	-0.3205	-0.3158	-0.3108	-0.3056	-0.3001	-0.2944	-0.2884	-0.2822	-0.2758	-0.2691	-0.2621	-0.2550	-0.2476	-0.2400	-0.2322	-0.2243	-0.2161	-0.2078	-0.1994	-0.1909	-0.1823	-0.1736	-0.1648	-0.1561	-0.1473	-0.1385	-0.1298	-0.1211	-0.1125	-0.1040	-0.0956	-0.0874	-0.0793	-0.0714	-0.0637	-0.0562	-0.0489	-0.0418	-0.0350	-0.0283	-0.0220	-0.0159	-0.0100	-0.0044	0.0010	0.0061	0.0110	0.0156	0.0200	0.0241	0.0281	0.0317	0.0352	0.0385	0.0415	0.0444	0.0470	0.0495	0.0518	0.0539	0.0559	0.0577	0.0593	0.0609	0.0623	0.0635	0.0647	0.0657	0.0666	0.0674	0.0682	0.0688	0.0694	
0.0728	0.0724	0.0719	0.0714	0.0707	0.0699	0.0691	0.0681	0.0670	0.0658	0.0645	0.0630	0.0614	0.0597	0.0578	0.0557	0.0534	0.0510	0.0483	0.0455	0.0425	0.0392	0.0357	0.0320	0.0281	0.0239	0.0194	0.0148	0.0098	0.0046	-0.0009	-0.0067	-0.0127	-0.0190	-0.0256	-0.0324	-0.0394	-0.0468	-0.0543	-0.0621	-0.0701	-0.0784	-0.0868	-0.0953	-0.1041	-0.1129	-0.1219	-0.1309	-0.1400	-0.1492	-0.1584	-0.1675	-0.1766	-0.1857	-0.1947	-0.2036	-0.2124	-0.2210	-0.2294	-0.2377	-0.2458	-0.2537	-0.2613	-0.2687	-0.2759	-0.2828	-0.2894	-0.2958	-0.3019	-0.3078	-0.3134	-0.3187	-0.3238	-0.3286	-0.3331	-0.3374	-0.3415	-0.3453	-0.3489	-0.3522	-0.3554	-0.3583	-0.3610	-0.3636	-0.3659	-0.3681	-0.3701	-0.3719	-0.3736	-0.3751	-0.3764	-0.3777	-0.3787	-0.3797	-0.3805	-0.3811	-0.3817	-0.3821	-0.3824	-0.3826	-0.3827	-0.3826	-0.3824	-0.3821	-0.3817	-0.3811	-0.3805	-0.3797	-0.3787	-0.3777	-0.3764	-0.3751	-0.3736	-0.3719	-0.3701	-0.3681	-0.3659	-0.3636	-0.3610	-0.3583	-0.3554	-0.3522	-0.3489	-0.3453	-0.3415	-0.3374	-0.3331	-0.3286	-0.3238	-0.3187	-0.3134	-0.3078	-0.3019	-0.2958	-0.2894	-0.2828	-0.2759	-0.2687	-0.2613	-0.2537	-0.2458	-0.2377	-0.2294	-0.2210	-0.2124	-0.2036	-0.1947	-0.1857	-0.1766	-0.1675	-0.1584	-0.1492	-0.1400	-0.1309	-0.1219	-0.1129	-0.1041	-0.0953	-0.0868	-0.0784	-0.0701	-0.0621	-0.0543	-0.0468	-0.0394	-0.0324	-0.0256	-0.0190	-0.0127	-0.0067	-0.0009	0.0046	0.0098	0.0148	0.0194	0.0239	0.0281	0.0320	0.0357	0.0392	0.0425	0.0455	0.0483	0.0510	0.0534	0.0557	0.0578	0.0597	0.0614	0.0630	0.0645	0.0658	0.0670	0.0681	0.0691	0.0699	0.0707	0.0714	0.0719	0.0724	
0.0759	0.0755	0.0751	0.0746	0.0740	0.0733	0.0726	0.0717	0.0707	0.0695	0.0683	0.0669	0.0653	0.0636	0.0617	0.0597	0.0575	0.0551	0.0525	0.0497	0.0467	0.0434	0.0399	0.0362	0.0322	0.0280	0.0235	0.0187	0.0137	0.0084	0.0028	-0.0031	-0.0093	-0.0158	-0.0225	-0.0296	-0.0369	-0.0445	-0.0523	-0.0604	-0.0687	-0.0773	-0.0860	-0.0949	-0.1040	-0.1133	-0.1226	-0.1321	-0.1416	-0.1512	-0.1607	-0.1703	-0.1799	-0.1893	-0.1987	-0.2080	-0.2171	-0.2261	-0.2349	-0.2435	-0.2519	-0.2600	-0.2680	-0.2756	-0.2830	-0.2901	-0.2970	-0.3035	-0.3098	-0.3158	-0.3215	-0.3270	-0.3321	-0.3370	-0.3416	-0.3459	-0.3500	-0.3539	-0.3575	-0.3608	-0.3640	-0.3669	-0.3696	-0.3722	-0.3745	-0.3767	-0.3786	-0.3804	-0.3821	-0.3835	-0.3849	-0.3861	-0.3871	-0.3880	-0.3888	-0.3895	-0.3900	-0.3904	-0.3907	-0.3909	-0.3910	-0.3909	-0.3907	-0.3904	-0.3900	-0.3895	-0.3888	-0.3880	-0.3871	-0.3861	-0.3849	-0.3835	-0.3821	-0.3804	-0.3786	-0.3767	-0.3745	-0.3722	-0.3696	-0.3669	-0.3640	-0.3608	-0.3575	-0.3539	-0.3500	-0.3459	-0.3416	-0.3370	-0.3321	-0.3270	-0.3215	-0.3158	-0.3098	-0.3035	-0.2970	-0.2901	-0.2830	-0.2756	-0.2680	-0.2600	-0.2519	-0.2435	-0.2349	-0.2261	-0.2171	-0.2080	-0.1987	-0.1893	-0.1799	-0.1703	-0.1607	-0.1512	-0.1416	-0.1321	-0.1226	-0.1133	-0.1040	-0.0949	-0.0860	-0.0773	-0.0687	-0.0604	-0.0523	-0.0445	-0.0369	-0.0296	-0.0225	-0.0158	-0.0093	-0.0031	0.0028	0.0084	0.0137	0.0187	0.0235	0.0280	0.0322	0.0362	0.0399	0.0434	0.0467	0.0497	0.0525	0.0551	0.0575	0.0597	0.0617	0.0636	0.0653	0.0669	0.0683	0.0695	0.0707	0.0717	0.0726	0.0733	0.0740	0.0746	0.0751	0.0755	
0.0790	0.0787	0.0784	0.0779	0.0774	0.0768	0.0761	0.0753	0.0744	0.0733	0.0721	0.0708	0.0693	0.0677	0.0659	0.0639	0.0618	0.0594	0.0568	0.0541	0.0510	0.0478	0.0443	0.0406	0.0366	0.0323	0.0278	0.0229	0.0178	0.0124	0.0067	0.0006	-0.0057	-0.0124	-0.0193	-0.0266	-0.0341	-0.0420	-0.0501	-0.0585	-0.0671	-0.0760	-0.0851	-0.0945	-0.1039	-0.1136	-0.1234	-0.1332	-0.1432	-0.1532	-0.1632	-0.1732	-0.1832	-0.1931	-0.2029	-0.2126	-0.2221	-0.2315	-0.2406	-0.2496	-0.2583	-0.2668	-0.2749	-0.2829	-0.2905	-0.2978	-0.3049	-0.3116	-0.3181	-0.3242	-0.3300	-0.3355	-0.3408	-0.3457	-0.3504	-0.3548	-0.3589	-0.3628	-0.3664	-0.3698	-0.3729	-0.3758	-0.3785	-0.3810	-0.3833	-0.3854	-0.3874	-0.3892	-0.3908	-0.3922	-0.3935	-0.3947	-0.3957	-0.3966	-0.3974	-0.3980	-0.3985	-0.3989	-0.3992	-0.3994	-0.3994	-0.3994	-0.3992	-0.3989	-0.3985	-0.3980	-0.3974	-0.3966	-0.3957	-0.3947	-0.3935	-0.3922	-0.3908	-0.3892	-0.3874	-0.3854	-0.3833	-0.3810	-0.3785	-0.3758	-0.3729	-0.3698	-0.3664	-0.3628	-0.3589	-0.3548	-0.3504	-0.3457	-0.3408	-0.3355	-0.3300	-0.3242	-0.3181	-0.3116	-0.3049	-0.2978	-0.2905	-0.2829	-0.2749	-0.2668	-0.2583	-0.2496	-0.2406	-0.2315	-0.2221	-0.2126	-0.2029	-0.1931	-0.1832	-0.1732	-0.1632	-0.1532	-0.1432	-0.1332	-0.1234	-0.1136	-0.1039	-0.0945	-0.0851	-0.0760	-0.0671	-0.0585	-0.0501	-0.0420	-0.0341	-0.0266	-0.0193	-0.0124	-0.0057	0.0006	0.0067	0.0124	0.0178	0.0229	0.0278	0.0323	0.0366	0.0406	0.0443	0.0478	0.0510	0.0541	0.0568	0.0594	0.0618	0.0639	0.0659	0.0677	0.0693	0.0708	0.0721	0.0733	0.0744	0.0753	0.0761	0.0768	0.0774	0.0779	0.0784	0.0787	
0.0821	0.0819	0.0817	0.0814	0.0809	0.0804	0.0798	0.0791	0.0782	0.0772	0.0761	0.0749	0.0735	0.0719	0.0702	0.0683	0.0662	0.0639	0.0613	0.0586	0.0556	0.0524	0.0489	0.0452	0.0412	0.0369	0.0323	0.0274	0.0222	0.0167	0.0108	0.0047	-0.0018	-0.0087	-0.0158	-0.0233	-0.0311	-0.0393	-0.0477	-0.0564	-0.0654	-0.0747	-0.0842	-0.0939	-0.1038	-0.1139	-0.1241	-0.1344	-0.1448	-0.1553	-0.1658	-0.1763	-0.1867	-0.1971	-0.2073	-0.2174	-0.2274	-0.2371	-0.2467	-0.2560	-0.2650	-0.2738	-0.2823	-0.2905	-0.2984	-0.3059	-0.3132	-0.3201	-0.3267	-0.3330	-0.3389	-0.3445	-0.3498	-0.3548	-0.3595	-0.3640	-0.3681	-0.3720	-0.3756	-0.3790	-0.3821	-0.3850	-0.3877	-0.3901	-0.3924	-0.3945	-0.3964	-0.3981	-0.3997	-0.4011	-0.4024	-0.4035	-0.4045	-0.4053	-0.4061	-0.4067	-0.4072	-0.4076	-0.4079	-0.4080	-0.4081	-0.4080	-0.4079	-0.4076	-0.4072	-0.4067	-0.4061	-0.4053	-0.4045	-0.4035	-0.4024	-0.4011	-0.3997	-0.3981	-0.3964	-0.3945	-0.3924	-0.3901	-0.3877	-0.3850	-0.3821	-0.3790	-0.3756	-0.3720	-0.3681	-0.3640	-0.3595	-0.3548	-0.3498	-0.3445	-0.3389	-0.3330	-0.3267	-0.3201	-0.3132	-0.3059	-0.2984	-0.2905	-0.2823	-0.2738	-0.2650	-0.2560	-0.2467	-0.2371	-0.2274	-0.2174	-0.2073	-0.1971	-0.1867	-0.1763	-0.1658	-0.1553	-0.1448	-0.1344	-0.1241	-0.1139	-0.1038	-0.0939	-0.0842	-0.0747	-0.0654	-0.0564	-0.0477	-0.0393	-0.0311	-0.0233	-0.0158	-0.0087	-0.0018	0.0047	0.0108	0.0167	0.0222	0.0274	0.0323	0.0369	0.0412	0.0452	0.0489	0.0524	0.0556	0.0586	0.0613	0.0639	0.0662	0.0683	0.0702	0.0719	0.0735	0.0749	0.0761	0.0772	0.0782	0.0791	0.0798	0.0804	0.0809	0.0814	0.0817	0.0819	
0.0853	0.0853	0.0851	0.0849	0.0845	0.0841	0.0836	0.0829	0.0822	0.0813	0.0803	0.0791	0.0778	0.0763	0.0746	0.0728	0.0708	0.0685	0.0661	0.0634	0.0604	0.0572	0.0538	0.0501	0.0460	0.0417	0.0371	0.0321	0.0269	0.0212	0.0153	0.0090	0.0023	-0.0047	-0.0121	-0.0198	-0.0279	-0.0363	-0.0451	-0.0541	-0.0635	-0.0731	-0.0830	-0.0932	-0.1035	-0.1141	-0.1248	-0.1356	-0.1465	-0.1575	-0.1685	-0.1795	-0.1904	-0.2012	-0.2120	-0.2225	-0.2329	-0.2431	-0.2531	-0.2628	-0.2722	-0.2813	-0.2901	-0.2985	-0.3067	-0.3145	-0.3219	-0.3290	-0.3357	-0.3421	-0.3482	-0.3539	-0.3593	-0.3643	-0.3691	-0.3735	-0.3777	-0.3815	-0.3851	-0.3885	-0.3916	-0.3944	-0.3971	-0.3995	-0.4017	-0.4037	-0.4056	-0.4073	-0.4088	-0.4102	-0.4114	-0.4125	-0.4134	-0.4143	-0.4150	-0.4156	-0.4160	-0.4164	-0.4167	-0.4168	-0.4169	-0.4168	-0.4167	-0.4164	-0.4160	-0.4156	-0.4150	-0.4143	-0.4134	-0.4125	-0.4114	-0.4102	-0.4088	-0.4073	-0.4056	-0.4037	-0.4017	-0.3995	-0.3971	-0.3944	-0.3916	-0.3885	-0.3851	-0.3815	-0.3777	-0.3735	-0.3691	-0.3643	-0.3593	-0.3539	-0.3482	-0.3421	-0.3357	-0.3290	-0.3219	-0.3145	-0.3067	-0.2985	-0.2901	-0.2813	-0.2722	-0.2628	-0.2531	-0.2431	-0.2329	-0.2225	-0.2120	-0.2012	-0.1904	-0.1795	-0.1685	-0.1575	-0.1465	-0.1356	-0.1248	-0.1141	-0.1035	-0.0932	-0.0830	-0.0731	-0.0635	-0.0541	-0.0451	-0.0363	-0.0279	-0.0198	-0.0121	-0.0047	0.0023	0.0090	0.0153	0.0212	0.0269	0.0321	0.0371	0.0417	0.0460	0.0501	0.0538	0.0572	0.0604	0.0634	0.0661	0.0685	0.0708	0.0728	0.0746	0.0763	0.0778	0.0791	0.0803	0.0813	0.0822	0.0829	0.0836	0.0841	0.0845	0.0849	0.0851	0.0853	
