-0.3054	-0.2814	-0.2573	-0.2332	-0.2092	-0.1851	-0.1610	-0.1369	-0.1128	-0.0886	-0.0643	-0.0400	-0.0157	0.0087	0.0333	0.0579	0.0826	0.1075	0.1325	0.1577	0.1830	0.2085	0.2342	0.2601	0.2862	0.3126	0.3392	0.3661	0.3933	0.4209	0.4487	0.4769	0.5055	0.5345	0.5639	0.5937	0.6239	0.6546	0.6858	0.7175	0.7497	0.7824	0.8157	0.8496	0.8840	0.9190	0.9546	0.9908	1.0276	1.0651	1.1032	1.1419	1.1813	1.2213	1.2619	1.3032	1.3451	1.3877	1.4309	1.4747	1.5191	1.5641	1.6097	1.6559	1.7026	1.7499	1.7977	1.8460	1.8948	1.9441	1.9938	2.0440	2.0947	2.1457	2.1971	2.2489	2.3011	2.3535	2.4063	2.4594	2.5128	2.5664	2.6202	2.6743	2.7286	2.7831	2.8378	2.8926	2.9476	3.0028	3.0580	3.1134	3.1689	3.2244	3.2801	3.3358	3.3915	3.4473	3.5032	3.5591	
-0.3206	-0.2968	-0.2730	-0.2493	-0.2256	-0.2018	-0.1781	-0.1543	-0.1305	-0.1067	-0.0828	-0.0589	-0.0349	-0.0109	0.0133	0.0375	0.0618	0.0863	0.1109	0.1356	0.1605	0.1856	0.2109	0.2363	0.2621	0.2880	0.3142	0.3407	0.3675	0.3946	0.4221	0.4499	0.4780	0.5066	0.5356	0.5650	0.5949	0.6253	0.6561	0.6875	0.7194	0.7519	0.7849	0.8185	0.8527	0.8875	0.9229	0.9590	0.9957	1.0330	1.0710	1.1097	1.1490	1.1890	1.2297	1.2711	1.3131	1.3557	1.3990	1.4430	1.4876	1.5328	1.5786	1.6250	1.6720	1.7196	1.7677	1.8163	1.8655	1.9151	1.9652	2.0158	2.0668	2.1182	2.1701	2.2223	2.2748	2.3277	2.3809	2.4344	2.4882	2.5422	2.5965	2.6510	2.7058	2.7607	2.8158	2.8710	2.9264	2.9820	3.0376	3.0934	3.1492	3.2052	3.2612	3.3173	3.3734	3.4296	3.4858	3.5420	
-0.3356	-0.3122	-0.2888	-0.2653	-0.2419	-0.2185	-0.1951	-0.1717	-0.1483	-0.1249	-0.1014	-0.0778	-0.0542	-0.0306	-0.0069	0.0170	0.0409	0.0649	0.0891	0.1134	0.1379	0.1625	0.1873	0.2124	0.2377	0.2632	0.2889	0.3150	0.3413	0.3680	0.3950	0.4224	0.4502	0.4783	0.5069	0.5360	0.5655	0.5955	0.6260	0.6570	0.6886	0.7207	0.7535	0.7868	0.8207	0.8553	0.8906	0.9265	0.9630	1.0003	1.0382	1.0768	1.1161	1.1561	1.1969	1.2383	1.2803	1.3231	1.3666	1.4107	1.4555	1.5009	1.5469	1.5936	1.6409	1.6888	1.7372	1.7862	1.8357	1.8857	1.9362	1.9871	2.0385	2.0904	2.1426	2.1952	2.2482	2.3016	2.3552	2.4091	2.4634	2.5178	2.5726	2.6275	2.6827	2.7380	2.7936	2.8492	2.9051	2.9610	3.0171	3.0733	3.1295	3.1859	3.2423	3.2987	3.3552	3.4118	3.4684	3.5249	
-0.3507	-0.3276	-0.3045	-0.2814	-0.2583	-0.2353	-0.2122	-0.1892	-0.1661	-0.1431	-0.1200	-0.0968	-0.0736	-0.0504	-0.0271	-0.0037	0.0198	0.0434	0.0672	0.0910	0.1151	0.1393	0.1636	0.1882	0.2130	0.2381	0.2634	0.2890	0.3149	0.3411	0.3676	0.3946	0.4219	0.4496	0.4778	0.5064	0.5355	0.5651	0.5952	0.6259	0.6572	0.6890	0.7214	0.7545	0.7882	0.8226	0.8576	0.8933	0.9297	0.9669	1.0047	1.0433	1.0825	1.1226	1.1633	1.2048	1.2469	1.2898	1.3334	1.3777	1.4227	1.4684	1.5147	1.5616	1.6092	1.6574	1.7061	1.7555	1.8053	1.8557	1.9066	1.9580	2.0099	2.0621	2.1148	2.1679	2.2213	2.2751	2.3292	2.3836	2.4383	2.4932	2.5484	2.6038	2.6594	2.7152	2.7712	2.8273	2.8836	2.9400	2.9965	3.0531	3.1097	3.1665	3.2233	3.2801	3.3370	3.3940	3.4509	3.5079	
-0.3657	-0.3429	-0.3201	-0.2974	-0.2747	-0.2520	-0.2293	-0.2066	-0.1840	-0.1613	-0.1386	-0.1158	-0.0931	-0.0702	-0.0473	-0.0244	-0.0013	0.0218	0.0451	0.0685	0.0921	0.1158	0.1397	0.1638	0.1881	0.2127	0.2375	0.2626	0.2881	0.3138	0.3399	0.3663	0.3932	0.4205	0.4482	0.4764	0.5051	0.5343	0.5640	0.5943	0.6252	0.6567	0.6888	0.7216	0.7550	0.7891	0.8239	0.8595	0.8957	0.9327	0.9705	1.0090	1.0482	1.0882	1.1290	1.1705	1.2128	1.2558	1.2996	1.3441	1.3893	1.4352	1.4817	1.5290	1.5769	1.6254	1.6745	1.7242	1.7745	1.8253	1.8766	1.9284	1.9807	2.0334	2.0866	2.1401	2.1940	2.2483	2.3029	2.3578	2.4129	2.4683	2.5240	2.5799	2.6360	2.6923	2.7487	2.8053	2.8620	2.9188	2.9758	3.0328	3.0899	3.1471	3.2043	3.2615	3.3188	3.3761	3.4334	3.4908	
-0.3807	-0.3582	-0.3358	-0.3134	-0.2910	-0.2687	-0.2464	-0.2241	-0.2018	-0.1795	-0.1572	-0.1349	-0.1126	-0.0902	-0.0677	-0.0452	-0.0226	0.0001	0.0229	0.0459	0.0689	0.0922	0.1156	0.1392	0.1630	0.1871	0.2114	0.2360	0.2609	0.2862	0.3118	0.3377	0.3641	0.3909	0.4181	0.4459	0.4741	0.5029	0.5322	0.5621	0.5926	0.6237	0.6555	0.6879	0.7211	0.7550	0.7896	0.8249	0.8610	0.8978	0.9355	0.9739	1.0131	1.0532	1.0940	1.1356	1.1779	1.2211	1.2650	1.3097	1.3551	1.4013	1.4481	1.4957	1.5439	1.5928	1.6423	1.6924	1.7431	1.7944	1.8461	1.8984	1.9511	2.0044	2.0580	2.1120	2.1664	2.2212	2.2763	2.3316	2.3873	2.4432	2.4994	2.5558	2.6124	2.6691	2.7260	2.7831	2.8403	2.8976	2.9550	3.0124	3.0700	3.1276	3.1852	3.2429	3.3006	3.3583	3.4160	3.4737	
-0.3956	-0.3735	-0.3514	-0.3294	-0.3074	-0.2854	-0.2635	-0.2416	-0.2197	-0.1978	-0.1759	-0.1540	-0.1321	-0.1101	-0.0881	-0.0661	-0.0439	-0.0217	0.0006	0.0230	0.0456	0.0683	0.0913	0.1143	0.1377	0.1612	0.1850	0.2091	0.2335	0.2582	0.2832	0.3087	0.3346	0.3608	0.3876	0.4148	0.4426	0.4709	0.4998	0.5292	0.5593	0.5901	0.6215	0.6536	0.6865	0.7201	0.7544	0.7896	0.8255	0.8622	0.8997	0.9381	0.9773	1.0173	1.0581	1.0998	1.1423	1.1856	1.2297	1.2746	1.3203	1.3667	1.4139	1.4618	1.5103	1.5596	1.6095	1.6600	1.7112	1.7629	1.8151	1.8679	1.9211	1.9748	2.0290	2.0835	2.1384	2.1937	2.2493	2.3052	2.3614	2.4179	2.4746	2.5315	2.5885	2.6458	2.7032	2.7608	2.8184	2.8762	2.9341	2.9920	3.0500	3.1080	3.1661	3.2242	3.2823	3.3404	3.3985	3.4566	
-0.4105	-0.3887	-0.3669	-0.3453	-0.3236	-0.3021	-0.2805	-0.2590	-0.2375	-0.2161	-0.1946	-0.1731	-0.1517	-0.1302	-0.1086	-0.0870	-0.0654	-0.0437	-0.0218	0.0001	0.0222	0.0444	0.0667	0.0893	0.1121	0.1351	0.1583	0.1818	0.2057	0.2298	0.2544	0.2793	0.3046	0.3303	0.3566	0.3833	0.4106	0.4384	0.4668	0.4958	0.5255	0.5558	0.5869	0.6186	0.6511	0.6844	0.7185	0.7534	0.7892	0.8257	0.8631	0.9014	0.9406	0.9806	1.0215	1.0632	1.1058	1.1493	1.1936	1.2387	1.2846	1.3314	1.3789	1.4271	1.4761	1.5257	1.5761	1.6271	1.6787	1.7309	1.7836	1.8369	1.8906	1.9449	1.9996	2.0547	2.1101	2.1660	2.2221	2.2786	2.3353	2.3923	2.4495	2.5070	2.5646	2.6224	2.6803	2.7383	2.7965	2.8548	2.9131	2.9715	3.0300	3.0885	3.1470	3.2055	3.2640	3.3226	3.3811	3.4396	
-0.4253	-0.4038	-0.3824	-0.3611	-0.3399	-0.3187	-0.2975	-0.2764	-0.2554	-0.2343	-0.2133	-0.1923	-0.1713	-0.1502	-0.1292	-0.1081	-0.0869	-0.0657	-0.0444	-0.0230	-0.0015	0.0202	0.0420	0.0640	0.0862	0.1087	0.1314	0.1543	0.1776	0.2012	0.2251	0.2494	0.2742	0.2994	0.3250	0.3512	0.3779	0.4052	0.4332	0.4617	0.4909	0.5208	0.5515	0.5829	0.6150	0.6480	0.6818	0.7165	0.7520	0.7884	0.8257	0.8639	0.9030	0.9430	0.9839	1.0258	1.0685	1.1121	1.1566	1.2020	1.2482	1.2953	1.3431	1.3917	1.4411	1.4912	1.5420	1.5935	1.6456	1.6983	1.7515	1.8054	1.8597	1.9145	1.9697	2.0254	2.0814	2.1379	2.1946	2.2516	2.3089	2.3665	2.4243	2.4823	2.5404	2.5988	2.6572	2.7158	2.7745	2.8332	2.8921	2.9510	3.0099	3.0689	3.1278	3.1868	3.2458	3.3047	3.3637	3.4226	
-0.4400	-0.4189	-0.3979	-0.3769	-0.3560	-0.3352	-0.3145	-0.2938	-0.2732	-0.2526	-0.2320	-0.2114	-0.1909	-0.1703	-0.1497	-0.1291	-0.1085	-0.0878	-0.0670	-0.0462	-0.0252	-0.0041	0.0172	0.0386	0.0602	0.0820	0.1041	0.1265	0.1491	0.1721	0.1954	0.2192	0.2433	0.2679	0.2930	0.3186	0.3448	0.3715	0.3989	0.4269	0.4557	0.4851	0.5153	0.5463	0.5781	0.6107	0.6443	0.6786	0.7139	0.7502	0.7873	0.8254	0.8645	0.9045	0.9455	0.9874	1.0303	1.0741	1.1188	1.1645	1.2110	1.2584	1.3066	1.3556	1.4054	1.4560	1.5073	1.5592	1.6119	1.6651	1.7190	1.7733	1.8283	1.8837	1.9395	1.9958	2.0524	2.1094	2.1668	2.2244	2.2823	2.3405	2.3988	2.4574	2.5161	2.5750	2.6340	2.6932	2.7524	2.8117	2.8710	2.9304	2.9898	3.0493	3.1087	3.1681	3.2275	3.2869	3.3463	3.4056	
